key,length,raw_angle,x0,y0,date,time,cam_angle
20160816_1227_0/3,54,4.289672899,94.3,60.8,16-08-16,12:27:12:860,-1.148080245
20160816_1227_1/15,75,5.468493558,70,45.4,16-08-16,12:27:14:856,-5.468493558
20160816_1227_1/16,41,5.676112418,67.6,66.2,16-08-16,12:27:15:364,-5.676112418
20160816_1227_1/17,35,1.238225472,93.8,101.3,16-08-16,12:27:16:392,-1.238225472
20160816_1227_1/18,49,0.003463246,47.8,23.8,16-08-16,12:27:17:100,-0.003463246
20160816_1227_1/19,71,5.02071126,66.6,64.8,16-08-16,12:27:17:488,-5.02071126
20160816_1227_1/20,71,5.02071126,66.6,64.8,16-08-16,12:27:17:488,-5.02071126
20160816_1227_1/21,68,5.019434869,68.7,65.2,16-08-16,12:27:17:519,-5.019434869
20160816_1227_0/5,51,0.175898638,36.8,27,16-08-16,12:27:19:519,2.965694016
20160816_1227_1/24,54,5.306026697,68,67.5,16-08-16,12:27:20:252,-5.306026697
20160816_1227_1/23,27,5.617572661,71.3,49.3,16-08-16,12:27:20:314,-5.617572661
20160816_1227_1/25,55,5.195172849,67,67.4,16-08-16,12:27:22:800,-5.195172849
20160816_1227_1/28,62,5.526044921,111.8,40.2,16-08-16,12:27:25:265,-5.526044921
20160816_1227_1/29,22,4.603293624,74.3,72,16-08-16,12:27:28:630,-4.603293624
20160816_1227_1/30,72,5.383077529,71,67.2,16-08-16,12:27:30:383,-5.383077529
20160816_1227_1/31,67,5.065023058,70.4,64.7,16-08-16,12:27:32:722,-5.065023058
20160816_1227_1/32,52,5.176231001,70.5,65,16-08-16,12:27:35:484,-5.176231001
20160816_1227_1/33,39,5.198282307,72.9,67.3,16-08-16,12:27:35:613,-5.198282307
20160816_1227_1/34,50,4.644790808,74.1,65.7,16-08-16,12:27:38:175,-4.644790808
20160816_1227_1/35,32,5.153069668,98.5,33.7,16-08-16,12:27:46:455,-5.153069668
